time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T13:39:34.567Z,61.2516,-149.8111,44.2,1.1,ml,,,,0.54,ak,ak0223thkvg0,2022-03-24T13:41:35.876Z,"6 km NE of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-24T13:33:49.630Z,38.7948341,-122.765831,1.46,0.85,md,9,79,0.007503,0.02,nc,nc73709766,2022-03-24T14:51:13.996Z,"2km NNW of The Geysers, CA",earthquake,0.37,0.85,,1,automatic,nc,nc
2022-03-24T13:25:58.180Z,38.8203316,-122.8033371,3.56,0.35,md,8,85,0.006087,0.01,nc,nc73709761,2022-03-24T14:39:14.918Z,"6km NW of The Geysers, CA",earthquake,0.58,2.27,,1,automatic,nc,nc
2022-03-24T13:25:32.040Z,38.8195,-122.8036652,3.05,1.43,md,32,36,0.00634,0.03,nc,nc73709756,2022-03-24T16:00:13.532Z,"6km NW of The Geysers, CA",earthquake,0.2,0.4,0.03,5,automatic,nc,nc
2022-03-24T13:13:34.930Z,38.8339996,-122.8815002,2.42,1.07,md,22,67,0.004485,0.03,nc,nc73709751,2022-03-24T15:36:14.255Z,"12km ENE of Cloverdale, CA",earthquake,0.27,0.49,0.11,4,automatic,nc,nc
2022-03-24T13:12:09.928Z,31.6409,-104.3181,6.92,2.7,ml,,109,0.158,0.26,us,us7000gwvp,2022-03-24T13:39:05.040Z,"59 km S of Whites City, New Mexico",earthquake,1.1,5.4,0.115,50,reviewed,us,us
2022-03-24T13:05:55.052Z,59.9156,-152.1562,83.3,1.5,ml,,,,0.36,ak,ak0223thdmnq,2022-03-24T13:08:14.562Z,"Southern Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-24T13:04:00.360Z,38.8208351,-122.7603302,1.83,0.47,md,11,125,0.01219,0.01,nc,nc73709736,2022-03-24T14:15:13.786Z,"3km W of Cobb, CA",earthquake,0.35,0.61,0.09,2,automatic,nc,nc
2022-03-24T12:58:18.170Z,33.7511667,-117.537,8.75,0.5,ml,9,88,0.05098,0.1,ci,ci39976551,2022-03-24T17:35:49.274Z,"11km NNE of Trabuco Canyon, CA",earthquake,0.26,0.58,0.115,5,reviewed,ci,ci
2022-03-24T12:53:25.820Z,38.8181648,-122.8044968,3.03,1.3,md,31,37,0.006801,0.02,nc,nc73709731,2022-03-24T14:13:11.777Z,"6km NW of The Geysers, CA",earthquake,0.21,0.4,0.12,6,automatic,nc,nc
2022-03-24T12:52:34.490Z,38.8181648,-122.8050003,3.1,1.08,md,24,38,0.006556,0.02,nc,nc73709726,2022-03-24T13:25:13.480Z,"6km NW of The Geysers, CA",earthquake,0.23,0.45,0.09,4,automatic,nc,nc
2022-03-24T12:33:02.990Z,19.203332901001,-155.385162353516,32.4500007629395,2.38,ml,41,163,,0.150000006,hv,hv72960797,2022-03-24T12:38:34.540Z,"9 km E of Pāhala, Hawaii",earthquake,0.51,0.730000019,2.64,8,automatic,hv,hv
2022-03-24T12:25:38.800Z,33.5003333,-116.5105,5.99,0.47,ml,21,57,0.05953,0.12,ci,ci39976543,2022-03-24T17:33:29.622Z,"16km ESE of Anza, CA",earthquake,0.21,0.57,0.099,9,reviewed,ci,ci
